UCSC_igenome	mm10
Olfr791	Or6c2
Olfr792	Or6c66b
Olfr794	Or6c88
Olfr796	Or10p1
Olfr798	Or6c66
Olfr799	Or6c209
Olfr800	Or6c210
Olfr801	Or6c211
Olfr802	Or6c1
Olfr803	Or6c3b
Olfr804	Or6c6c
Olfr805	Or6c212
Olfr806	Or6c213
Olfr807	Or6c214
Olfr808	Or6c65
Olfr809	Or6c76
Olfr810	Or6c69b
Olfr811	Or6c215
Olfr812	Or6c216
Olfr813	Or6c76b
Olfr814	Or6c70
Olfr815	Or6c217
Olfr816	Or6c69
Olfr818	Or6c219
Olfr819	Or10u4
Olfr247	Or10u3
Olfr820	Or6c33
Olfr821	Or6c74
Olfr822	Or6c69c
Olfr823	Or9r3
Olfr824	Or9r7
Olfr825	Or9k2
Olfr826	Or9k2b
Olfr827	Or9k7
Selm	Selenom
Gatsl3	Castor1
Ankrd36	Ankrd48
2210015D19Rik	Ube2d-ps
H2afv	H2az2
Gm11974	Snhg15
Gm11985	Ccdc201
4930415F15Rik	Spmip7
Wdr92	Dnaaf10
Rab1	Rab1a
Zrsr1	Zrsr2-ps1
Gm12060	Selenok-ps1
0610010F05Rik	Sanbr
Smek2	Ppp4r3b
4931440F15Rik	Fem1al
4930505A04Rik	Cimip6
Fam196b	Insyn2b
Rars	Rars1
Fam71b	Garin3
Gm12169	Timd5
BC053393	Timd6
Gm4926	Timd7-ps
Gnb2l1	Rack1
Olfr56	Or2v1
Olfr1396	Or2v2
Olfr1395	Or2t26
Olfr1394	Or2o1
Olfr1393	Or2y1g
Olfr1392	Or2y1f
Olfr10	Or2y1b
Olfr1391	Or2y1e
Olfr1390	Or2y17
Olfr1389	Or2y1d
Olfr1388	Or2y16
Olfr1387	Or2y15
Olfr1386	Or2y1c
Olfr1385	Or2y1
Olfr1384	Or2y14
Olfr1383	Or2y13
Olfr1382	Or2y12
Olfr1381	Or2y11
Olfr1380	Or2y10
3010026O09Rik	Mrnip
Olfr1378	Or1ad6
Olfr1377	Or1ad1
Olfr51	Or1ad8
Olfr54	Or1x2
Olfr1375	Or1x6
BC049762	Msantd5l
0610009B22Rik	Trappc2b
Olfr1373	Or2y8
Olfr1372-ps1	Or2y7
